# T(K)	P(bar)
3250.9      	1e-08       
3250.823060315332	1.1885022274370215e-08
3250.745249168424	1.4125375446227554e-08
3250.6327347273036	1.6788040181225588e-08
3250.4728277737977	1.9952623149688826e-08
3250.3137954732933	2.3713737056616554e-08
3250.0892968146113	2.818382931264461e-08
3249.854637169655	3.3496543915782795e-08
3249.589246518365	3.981071705534969e-08
3249.260671094194	4.731512589614813e-08
3248.868799098461	5.6234132519034905e-08
3248.3536997720676	6.683439175686162e-08
3247.761741712298	7.94328234724282e-08
3247.0822526101642	9.440608762859226e-08
3246.2713406938005	1.1220184543019653e-07
3245.2641836563653	1.333521432163324e-07
3244.080853055901	1.584893192461114e-07
3242.675240143916	1.883649089489802e-07
3241.0156318855124	2.2387211385683422e-07
3239.1010583298353	2.6607250597988136e-07
3236.811517533478	3.162277660168379e-07
3234.0611934598037	3.7583740428844433e-07
3230.7847607153135	4.466835921509635e-07
3226.9172336053807	5.308844442309889e-07
3222.4257727280547	6.309573444801942e-07
3217.0878705040427	7.498942093324558e-07
3210.80506266245	8.912509381337459e-07
3203.6056657989584	1.0592537251772896e-06
3195.45378808014	1.2589254117941687e-06
3184.441351906729	1.4962356560944327e-06
3170.1173569006137	1.7782794100389227e-06
3152.4389583343186	2.1134890398366474e-06
3131.32282006603	2.511886431509582e-06
3106.8454747847495	2.9853826189179636e-06
3082.0905840146984	3.5481338923357534e-06
3056.92038226758	4.216965034285822e-06
3030.2317953671436	5.011872336272725e-06
2999.84255546695	5.95662143529011e-06
2960.6977999394744	7.079457843841388e-06
2902.957608951863	8.413951416451948e-06
2834.4559599636036	1e-05       
2770.6120152523386	1.188502227437019e-05
2730.1612592173915	1.4125375446227555e-05
2719.541833881329	1.678804018122562e-05
2713.5586023955093	1.9952623149688786e-05
2708.6934222976633	2.371373705661655e-05
2703.884232428523	2.818382931264455e-05
2699.135244934536	3.349654391578279e-05
2694.9001288043382	3.981071705534977e-05
2690.951804034237	4.731512589614803e-05
2687.2603005445867	5.623413251903491e-05
2683.8072334369504	6.683439175686148e-05
2680.6217892610803	7.943282347242821e-05
2677.8227569597293	9.440608762859246e-05
2675.1066826749934	0.00011220184543019629
2672.387499958916	0.0001333521432163324
2669.534310291867	0.00015848931924611142
2666.3108914028735	0.00018836490894898024
2662.6772484881017	0.00022387211385683424
2658.4762621240116	0.0002660725059798809
2653.5951721782303	0.0003162277660168379
2647.927497645894	0.00037583740428844437
2641.5714939208106	0.0004466835921509635
2634.316000799292	0.0005308844442309889
2626.151612394283	0.000630957344480193
2617.0787071063883	0.0007498942093324559
2607.1476961311137	0.0008912509381337458
2596.41441240909	0.0010592537251772895
2584.5583156702633	0.0012589254117941673
2571.781954538891	0.0014962356560944345
2558.341495630497	0.0017782794100389225
2544.743369138702	0.0021134890398366475
2531.125350023214	0.002511886431509582
2517.8059159632476	0.0029853826189179603
2505.1434370651596	0.0035481338923357567
2493.3229499739223	0.004216965034285822
2482.4797591028546	0.0050118723362727255
2472.3013255785495	0.005956621435290103
2462.876433586195	0.00707945784384138
2454.3134440124	0.008413951416451957
2446.5      	0.01        
2439.267669641192	0.01188502227437019
2432.7746843054906	0.014125375446227554
2427.114776546421	0.016788040181225587
2422.225591553229	0.01995262314968883
2417.6931709888554	0.023713737056616554
2414.0692178240397	0.02818382931264455
2411.6824601875824	0.033496543915782793
2410.7384418520433	0.03981071705534969
2411.2573156232247	0.04731512589614813
2412.8248036061573	0.056234132519034905
2417.563002279325	0.06683439175686148
2425.343003459383	0.07943282347242821
2436.1146066712754	0.09440608762859228
2449.592019621766	0.11220184543019629
2466.882774016272	0.1333521432163324
2487.8939567776115	0.1584893192461114
2511.768633682952	0.18836490894898023
2537.9534143505907	0.22387211385683378
2566.1136003986726	0.26607250597988086
2595.7584744025867	0.3162277660168379
2625.894192750414	0.3758374042884443
2655.8509110102095	0.4466835921509634
2685.068166170563	0.5308844442309879
2712.5685143492815	0.630957344480193
2736.708614447365	0.7498942093324559
2758.102809881752	0.8912509381337458
2776.4435572383836	1.0592537251772898
2791.628008767188	1.2589254117941662
2802.3302354709253	1.4962356560944328
2810.1231230245958	1.7782794100389228
2815.7833843871413	2.1134890398366473
2819.6485750754723	2.511886431509582
2822.056182808057	2.9853826189179573
2823.2324262104953	3.548133892335753
2823.867486342607	4.216965034285823
2824.1650039255314	5.011872336272725
2824.3      	5.956621435290109
2824.3      	7.079457843841373
2824.3      	8.413951416451948
2824.3      	10.0        
