# T(K)	P(bar)
2878.8      	1e-08       
2764.5445682677646	1.1885022274370215e-08
2721.3756144531017	1.4125375446227554e-08
2709.896818365539	1.6788040181225588e-08
2700.2240108802557	1.9952623149688826e-08
2691.000137451004	2.3713737056616554e-08
2682.7551541162657	2.818382931264461e-08
2675.0937522592944	3.3496543915782795e-08
2668.1126187377176	3.981071705534969e-08
2661.8729926621977	4.731512589614813e-08
2656.621907919373	5.6234132519034905e-08
2652.0020838257024	6.683439175686162e-08
2647.7013211299363	7.94328234724282e-08
2643.698362006755	9.440608762859226e-08
2640.00961295737	1.1220184543019653e-07
2636.8331946085364	1.333521432163324e-07
2634.0468127437894	1.584893192461114e-07
2631.6215741942865	1.883649089489802e-07
2629.54766256172	2.2387211385683422e-07
2627.7926368023486	2.6607250597988136e-07
2626.3869105200865	3.162277660168379e-07
2625.13468162887	3.7583740428844433e-07
2623.9784393620084	4.466835921509635e-07
2622.856864394304	5.308844442309889e-07
2621.7536985647853	6.309573444801942e-07
2620.538111662883	7.498942093324558e-07
2619.283689685048	8.912509381337459e-07
2617.916296121002	1.0592537251772896e-06
2616.295331872135	1.2589254117941687e-06
2614.5116274215125	1.4962356560944327e-06
2612.3654992391766	1.7782794100389227e-06
2609.8110770752387	2.1134890398366474e-06
2606.7588515509424	2.511886431509582e-06
2603.0671863609787	2.9853826189179636e-06
2598.847770561517	3.5481338923357534e-06
2593.9156830090647	4.216965034285822e-06
2588.1348390532194	5.011872336272725e-06
2581.403411588719	5.95662143529011e-06
2573.796333591477	7.079457843841388e-06
2565.139803882407	8.413951416451948e-06
2555.177434030937	1e-05       
2543.697670020221	1.188502227437019e-05
2530.502328918159	1.4125375446227555e-05
2515.8225350712487	1.678804018122562e-05
2499.2989511843903	1.9952623149688786e-05
2480.251860435789	2.371373705661655e-05
2458.415099842365	2.818382931264455e-05
2433.7985185941225	3.349654391578279e-05
2407.540798586899	3.981071705534977e-05
2378.450946065622	4.731512589614803e-05
2346.7678756652467	5.623413251903491e-05
2313.2945044005883	6.683439175686148e-05
2280.4844293891247	7.943282347242821e-05
2251.5684885838677	9.440608762859246e-05
2224.5150578065513	0.00011220184543019629
2200.7257139946064	0.0001333521432163324
2181.3339862875523	0.00015848931924611142
2165.7672316529	0.00018836490894898024
2152.5655416778486	0.00022387211385683424
2140.40362986603	0.0002660725059798809
2128.706935462545	0.0003162277660168379
2116.818136081155	0.00037583740428844437
2105.578861201434	0.0004466835921509635
2095.4166608320697	0.0005308844442309889
2084.6314436643975	0.000630957344480193
2072.340454269397	0.0007498942093324559
2058.4850921829247	0.0008912509381337458
2044.4987361318167	0.0010592537251772895
2029.4718133083047	0.0012589254117941673
2013.250911259883	0.0014962356560944345
1995.8493896583211	0.0017782794100389225
1978.1402016690074	0.0021134890398366475
1960.1691068103512	0.002511886431509582
1941.1858615690023	0.0029853826189179603
1921.5052188659429	0.0035481338923357567
1901.6359697383964	0.004216965034285822
1882.6018792884647	0.0050118723362727255
1863.5374115683965	0.005956621435290103
1844.5550879272814	0.00707945784384138
1826.0406622548005	0.008413951416451957
1808.4      	0.01        
1792.3965455890204	0.01188502227437019
1776.5950828532111	0.014125375446227554
1761.1770643665682	0.016788040181225587
1746.308844094181	0.01995262314968883
1732.3140016497987	0.023713737056616554
1719.7922623841393	0.02818382931264455
1708.2648555273322	0.033496543915782793
1697.722018810146	0.03981071705534969
1687.9875693852973	0.04731512589614813
1678.8961390842878	0.056234132519034905
1670.8605252826887	0.06683439175686148
1663.606005693165	0.07943282347242821
1657.066894576231	0.09440608762859228
1651.0484403843666	0.11220184543019629
1645.7222705039162	0.1333521432163324
1640.574100732361	0.1584893192461114
1635.444530467727	0.18836490894898023
1630.2429876851586	0.22387211385683378
1624.9779104070471	0.26607250597988086
1619.8853385736509	0.3162277660168379
1614.8856628412536	0.3758374042884443
1610.0836459738912	0.4466835921509634
1605.568353464558	0.5308844442309879
1601.4708803834883	0.630957344480193
1597.979807072928	0.7498942093324559
1594.7987630019898	0.8912509381337458
1591.901888599653	1.0592537251772898
1589.2862302957994	1.2589254117941662
1587.3474211103396	1.4962356560944328
1585.7037925787427	1.7782794100389228
1584.3984444993919	2.1134890398366473
1583.417141641509	2.511886431509582
1582.6146057306473	2.9853826189179573
1582.1470295158017	3.548133892335753
1581.732513657393	4.216965034285823
1581.4349960744687	5.011872336272725
1581.3      	5.956621435290109
1581.3      	7.079457843841373
1581.368949088751	8.413951416451948
1581.4      	10.0        
