# T(K)	P(bar)
2893.2      	1e-08       
2798.410308488812	1.1885022274370215e-08
2764.5796676739697	1.4125375446227554e-08
2754.6178802752693	1.6788040181225588e-08
2742.2375969933573	1.9952623149688826e-08
2733.0932397143574	2.3713737056616554e-08
2726.1896076237276	2.818382931264461e-08
2720.3535634556206	3.3496543915782795e-08
2715.4602047387507	3.981071705534969e-08
2711.3460398477446	4.731512589614813e-08
2707.8191918861457	5.6234132519034905e-08
2704.713470158662	6.683439175686162e-08
2701.904684563229	7.94328234724282e-08
2699.3903073084593	9.440608762859226e-08
2697.1404768255848	1.1220184543019653e-07
2695.048689132451	1.333521432163324e-07
2693.006386215839	1.584893192461114e-07
2690.812860215874	1.883649089489802e-07
2688.3554785044757	2.2387211385683422e-07
2685.6431659672667	2.6607250597988136e-07
2682.8008716246227	3.162277660168379e-07
2679.810172235062	3.7583740428844433e-07
2676.7256525084517	4.466835921509635e-07
2673.631937013925	5.308844442309889e-07
2670.7952248808765	6.309573444801942e-07
2668.209855304696	7.498942093324558e-07
2665.7569181594654	8.912509381337459e-07
2663.3986293754524	1.0592537251772896e-06
2661.077128719463	1.2589254117941687e-06
2658.983214799167	1.4962356560944327e-06
2657.0047407234283	1.7782794100389227e-06
2655.0740513834926	2.1134890398366474e-06
2653.2159974471692	2.511886431509582e-06
2651.5306720343597	2.9853826189179636e-06
2650.216583628105	3.5481338923357534e-06
2649.1045355092215	4.216965034285822e-06
2648.1749803723437	5.011872336272725e-06
2647.4127487616774	5.95662143529011e-06
2646.8580659910454	7.079457843841388e-06
2646.2484072899933	8.413951416451948e-06
2645.4333030027296	1e-05       
2644.2688481506448	1.188502227437019e-05
2642.565314804348	1.4125375446227555e-05
2639.9104584703323	1.678804018122562e-05
2636.146782929627	1.9952623149688786e-05
2631.118142169258	2.371373705661655e-05
2624.5157396173468	2.818382931264455e-05
2615.9304594649666	3.349654391578279e-05
2604.8421554149954	3.981071705534977e-05
2591.0998155606285	4.731512589614803e-05
2574.2616666563426	5.623413251903491e-05
2553.9690699412035	6.683439175686148e-05
2530.157874726574	7.943282347242821e-05
2503.4434704418113	9.440608762859246e-05
2472.4331403388856	0.00011220184543019629
2437.458928013863	0.0001333521432163324
2399.4098353753166	0.00015848931924611142
2361.593628409317	0.00018836490894898024
2325.0230581126593	0.00022387211385683424
2288.758198768092	0.0002660725059798809
2253.6232202985193	0.0003162277660168379
2220.9534961930926	0.00037583740428844437
2194.2117732034108	0.0004466835921509635
2171.1925796268215	0.0005308844442309889
2150.9668690367503	0.000630957344480193
2133.0956670497685	0.0007498942093324559
2117.157996210416	0.0008912509381337458
2104.6565742704533	0.0010592537251772895
2093.7710298826833	0.0012589254117941673
2083.6005400058566	0.0014962356560944345
2073.388054989428	0.0017782794100389225
2063.5847544953435	0.0021134890398366475
2054.416900015476	0.002511886431509582
2045.2611287984043	0.0029853826189179603
2036.258724344846	0.0035481338923357567
2027.657742068133	0.004216965034285822
2020.090911028611	0.0050118723362727255
2013.295447086641	0.005956621435290103
2007.0111037744562	0.00707945784384138
2001.0802207516	0.008413951416451957
1995.2      	0.01        
1989.0448252265464	0.01188502227437019
1981.8891693371218	0.014125375446227554
1973.430451001887	0.016788040181225587
1963.4300136003199	0.01995262314968883
1951.900171813755	0.023713737056616554
1938.6089808523257	0.02818382931264455
1923.9514160275526	0.033496543915782793
1908.362325918272	0.03981071705534969
1892.3032464242701	0.04731512589614813
1876.3932433975035	0.056234132519034905
1860.402264688283	0.06683439175686148
1844.5703896653351	0.07943282347242821
1829.3458711999053	0.09440608762859228
1815.1617365100356	0.11220184543019629
1803.2743428638132	0.1333521432163324
1793.39338131825	0.1584893192461114
1785.645912546881	0.18836490894898023
1780.0632944472318	0.22387211385683378
1776.3936951321843	0.26607250597988086
1774.3033151956806	0.3162277660168379
1772.9367240783538	0.3758374042884443
1772.0892196810041	0.4466835921509634
1771.5488801408228	0.5308844442309879
1771.1548923445662	0.630957344480193
1770.9008959367904	0.7498942093324559
1770.710461210631	0.8912509381337458
1770.6      	1.0592537251772898
1770.6      	1.2589254117941662
1770.6      	1.4962356560944328
1770.6      	1.7782794100389228
1770.6385811923544	2.1134890398366473
1770.7      	2.511886431509582
1770.7      	2.9853826189179573
1770.7      	3.548133892335753
1770.7534972685214	4.216965034285823
1770.8325019627657	5.011872336272725
1770.9124644626177	5.956621435290109
1770.991704858422	7.079457843841373
1771.0689490887507	8.413951416451948
1771.2      	10.0        
